,lot,wafers,sites,VTCNHV,IONNHV,IOFNHV,VTCNSV,IONNSV,IOFNSV,VTCNLV,IONNLV,IOFNLV,R-FN,VTCPHV,IONPHV,IOFPHV,VTCPSV,IONPSV,IOFPSV,VTCPLV,IONPLV,IOFPLV,VTCPLDSP,IONPLDSP,IOFPLDSP,R-FP,R-LAA,R-LAB,R-LAC,R-LAD,R-LAE,RCLAA-LAB,RCLAB-LAC,RCLAC-LAD,RCLAD-LAE,R-PN,R-LBA,R-LCA,RCLAX-LBA,RCLBX-LCA,RCLCX-TMA,R-PP,R-PPSW,VTHN33S,IONN33S,IOFN33S,VTHN33L,IONN33L,IOFN33L,R-TMA,VTHP33S,IONP33S,IOFP33S,VTHP33L,IONP33L,IOFP33L,RCP-LAA,RCFL-LAA,VTCNUV,VTCNTRDP,IONNTRDP,IOFNTRDP,VTHNFPG2,VTHNFDD,VTHNFER2,VTHNFGD2,IONNH,VTHNH,BVNGOX-1,C-GN---3a,BVNGOX-2a,IONNPA,VTHNPA,BVDNPA,IONPH,VTHPH,BVDPH,C-GP---5a,BVPGOX-1,RSCRS2,BVTN,BVTN---3,C-PA-PB1,BVPA-PB2,RSPA,IONNNO-1,VTHNNO-1,BVDNNO-1,IONPNO-1,VTHPNO-1,BVDPNO-1,RSWL,BVDNSHS,BVDNNOS,VTHN_SB1p0,IONN_SB1p0,BVDN_SB1p0,FIONNPNO-H,FIONPPNO-H,SUMIOFF
0,4C56739-01,13.0,5.0,0.6898159111111107,0.21354688888888892,-10.82708774648879,0.6349329333333332,0.24296399999999996,-10.284108128742082,0.47469537777777754,0.34900644444444423,-8.83662350029911,172.40226666666663,-0.7610946666666674,-0.06950395555555557,-11.126410580892864,-0.6818514222222222,-0.09021586666666667,-10.924563465339373,-0.4764777333333333,-0.1539993333333333,-9.075254174632299,-0.8042505777777775,-0.013527448888888892,-11.781849770588234,191.55177777777777,1718.6964444444448,1427.5742222222218,1447.8728888888875,1506.4577777777772,1433.3955555555556,25788.28,27311.284444444445,29509.8,29321.297777777778,165.0159555555555,305.05271111111114,56.550328888888885,3028.3951111111087,617.3361333333335,582.1789777777775,196.0032444444445,4828.045333333336,0.4492141333333334,6.262951111111115,-11.514968280933326,0.13726288888888888,7.497160000000003,-7.745324278093336,36.90293333333333,-0.48270151111111115,-2.8752022222222227,-11.192817439192837,-0.23233862222222235,-3.7099599999999993,-8.890070378165174,954721.6,1357179.111111111,0.3257288888888888,0.5834639555555557,0.06758828888888889,-11.370790493452914,7.594177777777777,7.567644444444444,2.5904444444444437,2.601466666666666,0.472938888888889,0.5473651999999999,-17.92800000000001,151.29829013693328,17.347555555555576,0.009256360444444443,1.4575111111111112,6.092177777777765,-0.2878752444444443,-0.5756368444444444,-10.26284444444444,150.1046917307111,17.48311111111111,19.178937777777772,-13.798444444444439,-12.297777777777801,127.07568854217767,-18.636222222222216,1458.845333333334,0.49866919999999976,0.24946222222222228,11.053159999999998,-0.30614386666666654,-0.2645513333333333,-10.734688888888886,154258.88888888888,9.759542222222223,11.025316964285713,0.31059426666666656,1.1350884444444438,11.271928888888876,-12.852362502400009,-12.35848754337779,-8.801810165098216
1,4C56830-01,12.75,5.0,0.6606428703703701,0.23443935185185177,-10.504875220422536,0.605318240740741,0.2657083333333333,-9.994980297624409,0.4581988888888888,0.366016435185185,-8.686342364167439,168.56564814814823,-0.7425750000000002,-0.07481085648148145,-11.020945942253523,-0.6548803240740737,-0.09921509259259258,-10.676059203774656,-0.46178643518518464,-0.1618155092592593,-8.924239702873832,-0.7889805092592596,-0.014563125,-11.798135767547155,188.8414814814814,1819.7601851851857,1661.483333333332,1544.7745370370378,1598.7907407407415,1602.1648148148145,25881.333333333332,25922.25925925926,30324.74537037037,27339.13425925926,163.5073148148147,296.8127314814813,55.43346296296291,3011.1370370370387,603.8420833333334,580.9812962962963,194.2687962962964,4741.024537037035,0.46413625000000036,6.1871342592592615,-11.53209282226852,0.14787574074074078,7.442289351851848,-7.88121520639815,36.29645370370371,-0.48529263888888896,-2.8702407407407384,-11.151863845849059,-0.2368625925925927,-3.7055370370370353,-8.948467987148145,902915.3703703703,1276031.4814814816,0.3229694907407407,0.5707644651162794,0.07066231481481479,-11.27033145130233,7.59689814814815,7.57425925925926,2.609953703703703,2.6191666666666666,0.4724831481481483,0.5540608372093027,-17.884722222222226,152.27643846657395,17.331481481481468,0.008642662962962963,1.4885185185185184,6.108425925925915,-0.28875856481481466,-0.5692705092592598,-10.23816666666666,150.58765767509274,17.484722222222235,17.53093518518518,-13.868981481481482,-12.377546296296291,127.7730855050462,-18.716666666666683,1456.044444444444,0.4994092592592589,0.25552986111111115,11.013544186046504,-0.3065531481481483,-0.25974648148148155,-10.702652777777768,149131.38888888888,9.709550925925928,10.992525581395357,0.32003976851851845,1.1352907407407413,11.250425925925928,-12.37390648669768,-11.894643691990737,-8.573436125037208
2,4C56999-01,13.0,5.0,0.6774494666666665,0.22260133333333337,-10.821526668950671,0.6193525333333336,0.25611644444444437,-10.286748583937223,0.4748330666666665,0.35155355555555534,-8.909432459758929,163.02119999999996,-0.7675107111111112,-0.06788351111111113,-11.136196863693696,-0.6849447555555553,-0.08902304444444442,-11.024689986561086,-0.49085368888888886,-0.14904400000000004,-9.327128070040356,-0.7860696444444444,-0.014615977777777768,-11.807008477142855,177.27893333333336,1885.0275555555547,1358.8155555555552,1436.3915555555554,1532.055111111112,1476.7573333333332,26635.933333333334,28149.911111111112,28833.137777777778,31163.88888888889,154.78773333333322,302.3354666666669,56.288915555555555,2997.5657777777765,587.442711111111,586.0761777777777,180.67084444444438,4774.993777777776,0.46543902222222217,6.18256444444444,-11.686467361345285,0.1510929777777778,7.403682222222218,-7.9197146541466665,38.30205333333331,-0.4951429333333334,-2.8109688888888846,-11.248776304732148,-0.24195608888888892,-3.6519200000000005,-9.007359096595556,947374.4444444445,1384545.7777777778,0.32322351111111125,0.5636814666666662,0.07216548888888889,-11.25795376663677,7.618844444444442,7.5964,2.8441777777777775,2.851866666666667,0.4768015111111115,0.5578507555555555,-17.774666666666658,149.19702380111104,17.144444444444456,0.008199351555555552,1.499066666666666,6.0921333333333205,-0.2902013777777781,-0.5724605333333336,-10.23576888888889,148.26726973511114,17.291555555555544,17.33596444444446,-13.877555555555555,-12.370666666666661,128.05521164013342,-18.72355555555556,1428.8964444444437,0.5018636888888889,0.2602688888888889,11.043290178571423,-0.30820622222222216,-0.26451942222222224,-10.70385333333333,140672.44444444444,9.751595555555552,11.01836888888889,0.3226148444444443,1.144388444444444,11.247573333333344,-12.917431347955564,-12.367317400491066,-8.88295125257399
3,4C57000-01,13.0,5.0,0.6662958222222226,0.23137466666666662,-10.693264531581084,0.6078372444444441,0.26509533333333346,-10.127134287237666,0.4569955111111115,0.36562866666666693,-8.726940708183857,160.79902222222222,-0.7510216444444449,-0.07217508888888892,-11.154043010270271,-0.6619108888888885,-0.09650226666666667,-10.863727008968608,-0.46931186666666647,-0.15726844444444446,-9.093351466538454,-0.7693939999999997,-0.015383688888888877,-11.873115946249992,176.52897777777775,1623.592444444444,1592.6328888888888,1630.8568888888888,1581.7857777777776,1489.083111111111,25538.16,25423.835555555557,28373.97333333333,27962.24,154.71817777777784,306.28088888888885,54.983973333333275,2934.405333333333,618.2944888888891,589.9412444444447,179.4809333333333,4835.5195555555565,0.47168080000000023,6.213064444444441,-11.72044028454954,0.15407271111111112,7.456566666666667,-7.961932705062502,37.04315555555554,-0.4827244,-2.8921977777777768,-11.178417959417049,-0.2334285777777778,-3.7214955555555567,-8.904005845426664,885889.4222222222,1308197.7777777778,0.31710293333333317,0.558744933333333,0.0733838222222222,-11.206554747946441,7.605377777777781,7.582844444444444,2.722622222222222,2.730800000000002,0.47881822222222226,0.5517415999999998,-17.668444444444457,148.5210234189777,17.050666666666668,0.008859448444444449,1.4753333333333334,6.115466666666664,-0.2920298222222222,-0.5528598666666668,-10.209746666666671,147.88913569319993,17.237111111111098,17.927844444444457,-13.925333333333334,-12.396222222222237,127.36377348586672,-18.611777777777803,1415.4239999999993,0.5065871111111111,0.2498284444444445,11.002697777777776,-0.31091933333333344,-0.24983737777777779,-10.662573333333338,142479.33333333334,9.698813333333336,10.977715555555557,0.31300217777777795,1.151024000000001,11.234017777777781,-13.255536142410714,-12.364268135312498,-8.64243493
4,4C57001-01,13.083333333333334,5.0,0.6768337500000001,0.22140740740740733,-10.791502308403748,0.6247532870370369,0.25022638888888893,-10.296822708783028,0.4712041203703702,0.3526094907407407,-8.844657173850466,164.09944444444452,-0.7705413425925927,-0.06700039351851851,-11.122749190514012,-0.6848493055555559,-0.08896206018518515,-10.9475386675701,-0.4927147685185187,-0.1477768518518519,-9.333008986273594,-0.7954835648148147,-0.01392479166666666,-11.67678198056337,178.10314814814814,1822.9125000000006,1511.3129629629636,1567.5018518518516,1604.7333333333333,1558.3476851851863,26600.935185185186,27024.71759259259,27207.819444444445,28757.13888888889,156.20240740740743,298.4265740740741,55.763333333333335,3035.236574074073,574.5663425925924,589.1206944444444,180.76694444444442,4802.978703703704,0.4592025462962962,6.219106481481482,-11.382012670833339,0.1432569907407408,7.445370370370376,-7.808994422486109,36.28024074074072,-0.48858087962962965,-2.8636134259259274,-11.112684385514013,-0.23607412037037023,-3.6992106481481475,-8.948254049944442,871139.5833333334,1268777.3148148148,0.32513981481481474,0.5736524537037037,0.0693323148148148,-11.332391381084896,7.7658796296296275,7.738101851851849,2.7685648148148143,2.7762499999999988,0.4770235185185184,0.5373466203703705,-17.829398148148154,151.6890010230093,17.293518518518518,0.007895886111111108,1.5233333333333323,6.076111111111102,-0.2885474074074076,-0.5712077314814814,-10.231736111111113,149.4534499131019,17.384259259259267,17.675782407407414,-13.95578703703703,-12.419444444444455,127.7217037818981,-18.680092592592587,1451.0319444444447,0.5086879629629629,0.22010851851851856,11.127296296296295,-0.30703138888888903,-0.26506861111111113,-10.699050925925919,144047.22222222222,9.791870370370365,11.084330232558143,0.2864843518518518,1.156191203703704,11.370888888888897,-11.685861512361114,-11.509480184305561,-8.86968786621759
5,4C57002-01,12.583333333333334,5.0,0.6781379166666667,0.21995694444444458,-10.717804433812207,0.6330610185185185,0.2447027777777776,-10.341012585089205,0.4686280555555555,0.35191458333333353,-8.78564509416822,156.38351851851854,-0.7871363888888886,-0.06282990740740743,-11.10043702839623,-0.6967443981481481,-0.08458185185185194,-10.992545767605638,-0.5039831481481482,-0.14246805555555558,-9.456571293739536,-0.7919668518518521,-0.013968032407407408,-11.815699766226402,171.88916666666645,1656.2162037037049,1388.6558139534877,1550.3101851851852,1721.4791666666658,1547.6925925925923,25520.59259259259,26259.560185185186,26177.222222222223,29680.12037037037,152.57504629629636,296.7097222222223,55.89662962962962,2991.4217592592586,575.845462962963,601.0781481481486,174.50763888888892,4766.568981481482,0.458551574074074,6.2032777777777754,-11.495524042465119,0.14467263888888893,7.439449074074073,-7.839743050180557,38.015796296296294,-0.48450981481481464,-2.867729166666664,-11.148308169581398,-0.23618703703703686,-3.69432407407407,-8.943387848625,885900.0,1280048.611111111,0.32440162037037035,0.5775958796296292,0.06826953703703709,-11.313979958551405,7.643287037037037,7.617546296296295,2.551018518518516,2.5630092592592577,0.4791833488372094,0.5377251388888888,-17.767592592592603,151.08172901537034,17.208796296296285,0.009138628703703707,1.4618981481481483,6.0960185185185125,-0.2858044651162791,-0.5997581944444443,-10.20076851851852,149.33171689037025,17.35902777777779,17.336569444444443,-13.865740740740746,-12.368749999999997,125.51470104703705,-18.55231481481478,1425.9046296296294,0.5071639351851852,0.2330408333333334,11.11978604651163,-0.30481768518518504,-0.2911478703703702,-10.675680555555553,139316.0648148148,9.792398148148145,11.089734883720924,0.29814875,1.1526962962962966,11.336092592592593,-12.434678891813947,-11.877622874675925,-8.913404771245373
6,4C57065-01,13.0,5.0,0.6886485777777779,0.21525333333333324,-10.843239449241072,0.6340449333333329,0.24648400000000006,-10.398405216624994,0.46726711111111097,0.35982422222222243,-8.78138549721076,159.8431555555557,-0.7419816888888888,-0.07470444444444442,-11.073927750315312,-0.657422755555556,-0.09785993333333329,-10.74142562436772,-0.4673218666666664,-0.15859400000000004,-9.0039780435426,-0.7765592,-0.015088488888888888,-11.765086169372196,177.72382222222205,1778.8217777777777,1369.920444444444,1559.0364444444444,1467.6031111111117,1522.7915178571434,28370.66222222222,33076.96888888889,29001.626666666667,28982.95111111111,155.48382222222224,306.99400000000037,56.87971999999999,3089.230666666667,588.2183111111111,590.2170222222223,182.10111111111112,4842.189777777778,0.4672471111111112,6.1149288888888895,-11.47420187044643,0.1601044,7.302971111111109,-8.02151280683928,37.27348,-0.5015179555555558,-2.8008355555555546,-11.190963779955165,-0.24632279999999995,-3.6425177777777775,-9.069896855911114,930546.8444444444,1341612.888888889,0.31981426666666657,0.5784515111111109,0.06879091111111112,-11.356725437366078,7.7407555555555545,7.711422222222224,2.6927111111111124,2.7016000000000018,0.4708267555555554,0.5475024444444443,-17.961777777777773,152.83883987364445,17.384666666666682,0.00789971955555555,1.5220888888888895,6.070711111111099,-0.2878976,-0.5659752444444444,-10.236439999999993,150.200233751289,17.472222222222225,17.345177777777785,-13.880000000000006,-12.370222222222216,125.98368653613333,-18.55244444444445,1396.5164444444445,0.49646364444444463,0.24817080000000005,11.033426666666669,-0.3056476,-0.2582249777777778,-10.701537777777776,144355.9111111111,9.749746666666674,11.010209821428573,0.3121618222222223,1.1287239999999992,11.23841777777778,-12.16954951671112,-11.71722202071111,-8.804266246013338
7,4C57066-01,13.0,5.0,0.6785555999999999,0.22083311111111117,-10.678940583125001,0.6236743555555553,0.2515964444444446,-10.175400214892377,0.4783502222222223,0.3466566666666669,-8.893814745174888,161.29560000000004,-0.761135155555555,-0.06959273333333332,-11.047216304234242,-0.6788286666666665,-0.09076606666666664,-10.825676028349775,-0.48260382222222203,-0.15198799999999998,-9.143873263526784,-0.7939550666666666,-0.01413137777777778,-11.788724358378374,178.62568888888882,1818.9706666666668,1370.4831111111125,1654.3359999999993,1613.5839999999992,1552.9208888888888,27483.484444444446,25786.67111111111,27800.902222222223,27565.68,155.83697777777778,306.8108444444444,55.77338222222224,3081.5462222222195,634.1223555555558,585.552,183.0749777777777,4837.758666666666,0.4648895111111112,6.175088888888887,-11.530654615803572,0.15256817777777779,7.390246666666662,-7.931534903466665,37.36580000000003,-0.48857662222222215,-2.8668777777777765,-11.174689975605384,-0.2376261777777777,-3.699924444444445,-8.959532262263389,955495.7777777778,1393517.3333333333,0.3298832888888891,0.5705875111111114,0.06992979999999999,-11.259428571607144,7.613955555555555,7.588933333333333,2.667022222222223,2.674177777777777,0.47007271111111115,0.5600990666666668,-17.846444444444444,153.0770012151555,17.383999999999997,0.009069800888888887,1.4638222222222221,6.105733333333328,-0.28882568888888904,-0.5602113333333331,-10.253693333333338,150.85310285159994,17.506444444444433,17.132826666666674,-13.837333333333335,-12.296666666666669,127.47164886431109,-18.606000000000012,1441.612,0.497916088888889,0.2555356444444446,10.995048888888887,-0.30843342222222203,-0.24898084444444446,-10.70958666666667,139374.48888888888,9.666284444444445,10.972415178571437,0.32075573333333335,1.127365333333333,11.20927111111111,-12.540690098609865,-11.889303662044444,-8.768928375524663
8,4C57106-01,13.5,5.0,0.6324836574074075,0.24872407407407401,-10.192148006488264,0.576477314814815,0.28161805555555547,-9.623386468373825,0.455024675925926,0.3640488425925924,-8.624508587493024,167.4390740740741,-0.7654814814814819,-0.0682896527777778,-11.121784926448605,-0.6812660648148149,-0.09032439814814809,-10.905960057897193,-0.48823773148148175,-0.14976574074074075,-9.19803803034434,-0.794890972222222,-0.01394085648148147,-11.861905041495316,181.28949074074083,1780.5509259259254,1449.2277777777779,1521.6736111111104,1506.6865740740745,1466.9564814814814,27576.037037037036,29394.703703703704,27812.472222222223,30714.99074074074,159.58388888888882,301.76412037037034,58.17425925925928,2956.4726851851824,568.0417592592593,588.0886111111108,186.23657407407407,4797.073148148149,0.46066152777777797,6.199928240740738,-11.595327632175922,0.15555750000000004,7.389833333333336,-7.969622477870371,37.62184259259262,-0.4967030555555558,-2.828953703703703,-11.252465414000007,-0.24089587962962963,-3.675699074074074,-8.990579861288372,951527.2222222222,1341040.9302325582,0.3190549537037039,0.5602417129629629,0.0726743055555556,-11.203219756291078,7.573379629629632,7.5512962962963,2.80949074074074,2.8188888888888894,0.477211898148148,0.5240711111111113,-18.001620370370368,152.56754064675914,17.484027777777783,0.008394756944444437,1.4961111111111112,6.126111111111113,-0.2858452777777779,-0.5771831944444449,-10.277527777777784,151.05135700606482,17.582407407407402,18.052717592592582,-13.949074074074067,-12.420370370370367,126.8429750244444,-18.54444444444443,1522.8287037037037,0.5052699999999999,0.2156106018518519,11.155472222222231,-0.30438740740740755,-0.2658471296296296,-10.75144907407407,149065.55555555556,9.848745370370374,11.108638888888889,0.28339560185185164,1.1482037037037038,11.38969444444444,-13.78579370273585,-12.39331522981482,-8.556286279694442
9,4C57130-01,11.5,5.0,0.6637905000000001,0.23278833333333335,-10.638261129513959,0.6091451666666663,0.26524861111111103,-10.08062245127119,0.46676450000000036,0.361906388888889,-8.825885421050565,165.45283333333333,-0.7427634999999997,-0.07399669444444446,-11.077573609385475,-0.655644111111111,-0.09762669444444444,-10.744267374606736,-0.4647808888888891,-0.15935138888888886,-8.99101215657627,-0.7708033333333332,-0.015389472222222231,-11.88820141553072,180.25105555555558,1830.611666666666,1394.5638888888896,1605.2677777777772,1484.277777777778,1467.2766666666666,27063.75,30552.794444444444,30119.42777777778,31631.794444444444,158.66205555555547,307.24249999999995,57.01126666666666,3020.9149999999977,581.5422222222221,590.120111111111,185.8179444444445,4839.406666666668,0.46180422222222195,6.1725777777777795,-11.617307832666661,0.15312483333333335,7.365308333333333,-7.934778710583331,37.62155,-0.49659333333333283,-2.8225388888888894,-11.284269537374309,-0.2433863888888888,-3.6619083333333355,-9.023124631844446,983199.8882681564,1427846.3687150837,0.3246965555555554,0.5667550555555554,0.07267780555555556,-11.295739957471904,7.554111111111111,7.532055555555557,2.718166666666667,2.728055555555556,0.4764125000000003,0.5300037222222229,-17.946388888888894,152.30643014366652,17.447222222222226,0.00911561777777778,1.4640555555555557,6.126166666666667,-0.2880289999999997,-0.5658874444444444,-10.28658888888889,151.0157230171111,17.562777777777786,17.59133333333334,-13.933611111111112,-12.398611111111107,126.38125091888881,-18.49444444444445,1468.5483333333334,0.5035549999999999,0.22004227777777774,11.134755555555556,-0.30623961111111103,-0.24933422222222232,-10.754122222222218,148786.94444444444,9.833066666666667,11.101083333333339,0.28594405555555547,1.1451961111111113,11.363822222222224,-13.681045431955297,-12.40271667850001,-8.700641834675983
