,LSL,Target,USL,N,Mean,3Sigma,Cp,K,Cpk,Parameter,Info,Units
0,0.5589999999999999,0.695,0.831,11195,0.6734640804,0.0836259569,1.6262893122,0.1583523501,1.3687625777,VTCNHV,LV_nal_Vtc_0.5x0.065_Iso,(V)
1,0.141,0.21,0.27899999999999997,11194,0.2240038101,0.0442360729,1.5598129641,0.20295376920000002,1.2432430438,IONNHV,LV_nal_Ids_0.5x0.065_Iso,(mA)
2,,,-8.95,11059,-10.70251254,1.0858466604,,,1.6139595065999999,IOFNHV,LV_nal_Log10(Ioff)_0.5x0.065_Iso,(log(A))
3,0.513,0.645,0.7759999999999999,11196,0.617335008,0.087263905,1.5069231668,0.21038016699999998,1.1898964193000001,VTCNSV,LV_ns_Vtc_0.5x0.065_Iso,(V)
4,0.17,0.23800000000000002,0.306,11195,0.2556794819,0.048207753799999996,1.4105614684999999,0.2599923811,1.0438262336,IONNSV,LV_ns_Ids_0.5x0.065_Iso,(mA)
5,,,-8.33,11070,-10.15924275,1.1873630284,,,1.5405926492,IOFNSV,LV_ns_Log10(Ioff)_0.5x0.065_Iso,(log(A))
6,0.28800000000000003,0.47,0.647,11196,0.470457475,0.0644221309,2.7863095744,0.0025486072,2.7792083657999997,VTCNLV,LV_ne_Vtc_0.5x0.065_Iso,(V)
7,0.242,0.35,0.514,11195,0.3518021706,0.042456770899999996,3.2032582144,0.0132512545,3.1608110245999996,IONNLV,LV_ne_Ids_0.5x0.065_Iso,(mA)
8,,,-6.92,11092,-8.828576126,0.7582681036,,,2.5170201893,IOFNLV,LV_ne_Log10(Ioff)_0.5x0.065_Iso,(log(A))
9,90.0,150.0,210.0,11195,164.32184189,15.897819300999998,3.7741025270999997,0.2386973649,2.8732341991,R-FN,RES_N+_RS_5x50_,(ohm)
10,-0.914,-0.7559999999999999,-0.595,11196,-0.764245003,0.09130614710000001,1.7468703379,0.0516928068,1.6565697071,VTCPHV,LV_pal_Vtc_0.5x0.065_Iso,(V)
11,-0.1251,-0.0702,-0.04,11196,-0.068680554,0.01945323,2.1872974273,0.035709654199999996,2.1091897926,IONPHV,LV_pal_Ids_0.5x0.065_Iso,(mA)
